,State,RegisteredUsers,AppOpens,Year,Quarter
623,andaman & nicobar islands,80530,5180013,2022,2
624,haryana,13576065,236091309,2022,2
625,rajasthan,24716181,2771434947,2022,2
626,ladakh,97517,14768129,2022,2
627,punjab,7702100,138965337,2022,2
628,assam,4755787,339929089,2022,2
629,jharkhand,7426174,379053485,2022,2
630,odisha,12801990,670311093,2022,2
631,bihar,19569894,348588438,2022,2
632,kerala,9442533,98876392,2022,2
633,karnataka,32831447,2065359837,2022,2
634,chandigarh,569582,2285979,2022,2
635,telangana,23314363,1276259370,2022,2
636,himachal pradesh,2264407,102488683,2022,2
637,west bengal,23124388,250276369,2022,2
638,gujarat,20321596,609943436,2022,2
639,sikkim,220994,16993937,2022,2
640,nagaland,292104,28652431,2022,2
641,mizoram,121535,16646550,2022,2
642,chhattisgarh,6238349,501411120,2022,2
643,jammu & kashmir,1635570,89986310,2022,2
644,goa,777779,19062157,2022,2
645,arunachal pradesh,354528,49889518,2022,2
646,delhi,14260143,52553080,2022,2
647,uttarakhand,3877056,156465685,2022,2
648,puducherry,496570,4186911,2022,3
649,tamil nadu,24019964,866738343,2022,3
650,uttar pradesh,43537920,1035702397,2022,3
651,madhya pradesh,21884220,2026371749,2022,3
652,andhra pradesh,26496330,1357005703,2022,3
653,tripura,649143,24123569,2022,3
654,lakshadweep,6645,18111,2022,3
655,manipur,457063,26011343,2022,3
656,maharashtra,53432602,2638663712,2022,3
657,dadra & nagar haveli & daman & diu,474807,3837881,2022,3
658,meghalaya,283487,32596135,2022,3
659,andaman & nicobar islands,84642,6068354,2022,3
660,haryana,14303933,265475161,2022,3
661,rajasthan,26042948,3299787866,2022,3
662,ladakh,102299,19734781,2022,3
663,punjab,8097582,154625731,2022,3
664,assam,5016910,410760707,2022,3
665,jharkhand,7836429,414228860,2022,3
666,odisha,13493282,725475924,2022,3
667,bihar,20694376,336807385,2022,3
668,kerala,9933977,104565833,2022,3
669,karnataka,34493994,2148016434,2022,3
670,chandigarh,598698,2173356,2022,3
671,telangana,24506111,1255597644,2022,3
672,himachal pradesh,2381576,108832538,2022,3
673,west bengal,24372048,256445748,2022,3
674,gujarat,21394721,699121904,2022,3
675,sikkim,232025,18748536,2022,3
676,nagaland,307386,31229366,2022,3
677,mizoram,127735,15557163,2022,3
678,chhattisgarh,6562237,543206487,2022,3
679,jammu & kashmir,1719185,109346235,2022,3
680,goa,817830,19712764,2022,3
681,arunachal pradesh,373372,59722628,2022,3
682,delhi,15009523,49919498,2022,3
683,uttarakhand,4081976,152803850,2022,3
684,puducherry,520649,24144184,2022,4
685,tamil nadu,25136112,1229187623,2022,4
686,uttar pradesh,45648650,1682003791,2022,4
